drug_name,drug_name_clean,medical_condition,medical_condition_clean,generic_name,drug_classes,input_text,input_text_clean,side_effects_clean,side_effects_count
doxycycline,doxycycline,Acne,acne,doxycycline,"Miscellaneous antimalarials, Tetracyclines","doxycycline acne doxycycline miscellaneous antimalarials, tetracyclines",doxycycline acne doxycycline miscellaneous antimalarial tetracycline,"nausea and vomiting, upset stomach, loss of appetite, mild diarrhea, skin rash, itching, darkened skin color, vaginal itching, discharge",9
spironolactone,spironolactone,Acne,acne,spironolactone,"Aldosterone receptor antagonists, Potassium-sparing diuretics","spironolactone acne spironolactone aldosterone receptor antagonists, potassium-sparing diuretics",spironolactone acne spironolactone aldosterone receptor antagonist potassium-sparing diuretic,"breast swelling, tenderness",2
minocycline,minocycline,Acne,acne,minocycline,Tetracyclines,minocycline acne minocycline tetracyclines,minocycline acne minocycline tetracycline,"numbness, tingling, burning pain, hair loss, discoloration of you skin, nails",6
Accutane,accutane,Acne,acne,isotretinoin (oral),"Miscellaneous antineoplastics, Miscellaneous uncategorized agents","accutane acne isotretinoin (oral) miscellaneous antineoplastics, miscellaneous uncategorized agents",accutane acne isotretinoin miscellaneous antineoplastic miscellaneous uncategorized agent,"dryness of your skin, lips, eyes, nose, vision problems, headache, back pain, joint pain, muscle problems, skin reactions, cold symptoms such as stuffy nose, sneezing, sore throat",13
clindamycin,clindamycin,Acne,acne,clindamycin topical,"Topical acne agents, Vaginal anti-infectives","clindamycin acne clindamycin topical topical acne agents, vaginal anti-infectives",clindamycin acne clindamycin topical topical acne agent vaginal anti-infectives,"diarrhea, itching, stomach pain, swelling",4
Aldactone,aldactone,Acne,acne,spironolactone,"Aldosterone receptor antagonists, Potassium-sparing diuretics","aldactone acne spironolactone aldosterone receptor antagonists, potassium-sparing diuretics",aldactone acne spironolactone aldosterone receptor antagonist potassium-sparing diuretic,"breast swelling, tenderness",2
tretinoin,tretinoin,Acne,acne,tretinoin topical,Topical acne agents,tretinoin acne tretinoin topical topical acne agents,tretinoin acne tretinoin topical topical acne agent,"itching, swelling",2
isotretinoin,isotretinoin,Acne,acne,isotretinoin (oral),"Miscellaneous antineoplastics, Miscellaneous uncategorized agents","isotretinoin acne isotretinoin (oral) miscellaneous antineoplastics, miscellaneous uncategorized agents",isotretinoin acne isotretinoin miscellaneous antineoplastic miscellaneous uncategorized agent,"dryness of your skin, lips, eyes, nose, vision problems, headache, back pain, joint pain, muscle problems, skin reactions, cold symptoms such as stuffy nose, sneezing, sore throat",13
Bactrim,bactrim,Acne,acne,sulfamethoxazole and trimethoprim,Sulfonamides,bactrim acne sulfamethoxazole and trimethoprim sulfonamides,bactrim acne sulfamethoxazole trimethoprim sulfonamide,"nausea, vomiting, loss of appetite, skin rash",4
Retin-A,retin-a,Acne,acne,Retin-A,Topical acne agents,retin-a acne retin-a topical acne agents,retin-a acne retin-a topical acne agent,swelling,1
