Disease,disease_encoded,symptoms_text,symptoms_clean,symptom_count
Roseola,10,"runny nose, rash, red eyes, loss of appetite, rashes, feverish",runny nose rash red eye loss appetite rash feverish,6
Roseola,10,"high fever, runny nose, irritability, headache, cough, rashes, chills",high fever runny nose irritability headache cough rash chill,7
Norovirus Infection,8,"stomach cramps, nausea, fatigue, abdominal pain, loss of appetite, dehydration, chills, sweating, rashes, general discomfort, fever",stomach cramp nausea fatigue abdominal pain loss appetite dehydration chill sweating rash general discomfort fever,11
Roseola,10,"high fever, runny nose, irritability, fatigue, red eyes, diarrhea, vomiting, feverish",high fever runny nose irritability fatigue red eye diarrhea vomiting feverish,8
Norovirus Infection,8,"diarrhea, low-grade fever, nausea, headache, fatigue, loss of appetite, dehydration, chills, sweating, general discomfort, irritability",diarrhea low-grade fever nausea headache fatigue loss appetite dehydration chill sweating general discomfort irritability,11
Roseola,10,"runny nose, rash, irritability, swollen lymph nodes, cough, red eyes, diarrhea, vomiting, loss of appetite, abdominal pain, body aches, rashes, feverish",runny nose rash irritability swollen lymph node cough red eye diarrhea vomiting loss appetite abdominal pain body ache rash feverish,13
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, nausea, vomiting, bloody stools, stomach cramps, headache, fatigue, dehydration, loss of appetite, rashes, chills",fever abdominal pain cramp diarrhea nausea vomiting bloody stool stomach cramp headache fatigue dehydration loss appetite rash chill,13
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, nausea, vomiting, headache, fatigue, dehydration, muscle aches, body aches, rashes, joint pain",abdominal pain cramp diarrhea nausea vomiting headache fatigue dehydration muscle ache body ache rash joint pain,11
Norovirus Infection,8,"diarrhea, vomiting, nausea, headache, fatigue, abdominal pain, loss of appetite, sweating, body aches, fever",diarrhea vomiting nausea headache fatigue abdominal pain loss appetite sweating body ache fever,10
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, nausea, fatigue, dehydration, loss of appetite, muscle aches, rashes",fever abdominal pain cramp diarrhea nausea fatigue dehydration loss appetite muscle ache rash,9
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, nausea, loss of appetite, feverish, rashes, general discomfort, chills, joint pain",fever diarrhea nausea loss appetite feverish rash general discomfort chill joint pain,9
